ID;Corps_Statut;Typ_Personnels;Corps_Grades;Grades;Categorie;"Indice Minimum avant
01/03/2022";"Indice Minimum
A partir du 01/03/2022";"Indice Minimum
A partir du 01/01/2023";"Indice Minimum
A partir du 01/01/2024"
135;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Documentation et archives”;Corps des Documentalistes- archivistes;Documentaliste-archiviste en chef;16;713;763;838;913
136;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Documentation et archives”;Corps des Assistants documentalistes-archivistes;Assistant documentaliste-archiviste;10;453;503;578;653
137;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Documentation et archives”;Corps des Assistants documentalistes-archivistes;Assistant documentaliste-archiviste principal;11;498;548;623;698
138;Corps Communs aux Instit.et Adm.Publiques ;Personnels de la Filière “Documentation et archives”;Corps des Agents techniques en documentation et archives;Agent technique en documentation et archives;7;348;398;473;548
139;Corps Communs aux Instit.et Adm.Publiques ;Personnels de Filière “Laboratoire et maintenance”;Corps des Ingénieurs;Ingénieur d’Etat-Laboratoire et maintenance-;13;578;628;703;778
140;Corps Communs aux Instit.et Adm.Publiques ;Personnels de Filière “Laboratoire et maintenance”;Corps des Ingénieurs;Ingénieur principal-Laboratoire et maintenance-;14;621;671;746;821
141;Corps Communs aux Instit.et Adm.Publiques ;Personnels de Filière “Laboratoire et maintenance”;Corps des Ingénieurs;Ingénieur en chef-Laboratoire et maintenance-;16;713;763;838;913
142;Corps Communs aux Instit.et Adm.Publiques ;Personnels de Filière “Laboratoire et maintenance”;Corps des Techniciens;Assistant ingénieur de niveau 1-Laboratoire et maintenance-;11;498;548;623;698
143;Corps Communs aux Instit.et Adm.Publiques ;Personnels de Filière “Laboratoire et maintenance”;Corps des Techniciens;Assistant ingénieur de niveau 2-Laboratoire et maintenance-;12;537;587;662;737
144;Corps Communs aux Instit.et Adm.Publiques ;Personnels de Filière “Laboratoire et maintenance”;Corps des Techniciens;Technicien-Laboratoire et maintenance-;8;379;429;504;579
145;Corps Communs aux Instit.et Adm.Publiques ;Personnels de Filière “Laboratoire et maintenance”;Corps des Techniciens;Technicien Superieur-Laboratoire et maintenance-;10;453;503;578;653
146;Corps Communs aux Instit.et Adm.Publiques ;Personnels de Filière “Laboratoire et maintenance”;Corps des Adjoints techniques;Adjoint technique-Laboratoire et maintenance-;7;348;398;473;548
147;Corps Communs aux Instit.et Adm.Publiques ;Personnels de Filière “Laboratoire et maintenance”;Corps des Agents techniques;Agent technique-Laboratoire et maintenance-;5;288;338;413;488
148;Corps Communs aux Instit.et Adm.Publiques ;Personnels de Filière “Laboratoire et maintenance”;Corps des Agents de laboratoire;Agent de Laboratoire-Laboratoire et maintenance-;4;263;313;388;463
149;Ouvriers Prof.,Conducteurs automob. Appariteurs;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 3;1;200;250;325;400
150;Ouvriers Prof.,Conducteurs automob. Appariteurs;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 2;3;240;290;365;440
151;Ouvriers Prof.,Conducteurs automob. Appariteurs;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 1;5;288;338;413;488
152;Ouvriers Prof.,Conducteurs automob. Appariteurs;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 1 - Chef de Parc;5;288;338;413;488
153;Ouvriers Prof.,Conducteurs automob. Appariteurs;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 1 - Chef d'Atelier;5;288;338;413;488
154;Ouvriers Prof.,Conducteurs automob. Appariteurs;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 1 - Chef Magasinier;5;288;338;413;488
155;Ouvriers Prof.,Conducteurs automob. Appariteurs;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 1 - Chef de Cuisine;5;288;338;413;488
156;Ouvriers Prof.,Conducteurs automob. Appariteurs;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 1 - Responsable du Service Interieur;5;288;338;413;488
